0.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
3VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
EVNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
VVNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
0VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
0VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
9VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
8VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
4VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
,VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
-VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
1VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
7VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
0VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
9VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
4VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
EVNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
.VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
7VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
9VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
6VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
4VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
+VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
-VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
1VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
6VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
,VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
1VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
5VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
NVNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
VVNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
0VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
0VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
9VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
5VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
4VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
,VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
-VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
1VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
0VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
0VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
2VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
8VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
NVNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
0VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
7VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
9VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
6VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
3VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
,VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
,VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
.VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
7VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
9VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
1VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
9VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
VVNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
0VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
0VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
.VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
6VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
3VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
3VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
VVNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
2VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
.VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
7VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
2VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
3VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
0VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
VVNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C

VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
+VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
0VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
.VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
0VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
.VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
1VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
7VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
0VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
9VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
4VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
0VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
0VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
$VNQMR,+0.045774,-0.006767,+0.998909,-0.006321,-00.3403,-00.0025,+00.5775,-00.889,+00.117,-09.711,+00.000158,-00.000663,-00.000206*4C
